ID,contest_id,contest_name,contest_url,is_exam,is_contest_status,regist_start_time,regist_end_time,contest_start_time,contest_end_time,thumb_pic,level_name,organiser,organiser_name,enter_range,contest_class_first,contest_class_second,contest_class_second_id,time_status,time_name,ranking,is_new,module
22,52302,【最后一场】“东方创新杯”全国大学生英语词汇大赛,vse/ORIENT-VOCABULARY,0,1,1734019200,1745679600,1745629200,1745683140,https://publicqn.saikr.com/2025/02/05/contest67a2c53d7a3a62.218592021738720572327.png,全国性,华夏文化促进会文化和科技融合工作委员会,主办方,全国,1005,english,19,12,正在报名,22,0,0
23,53191,【最后一场报名】2025“英才计划”国际大学生英语综合能力大赛,vse/ICSECAC2025,0,1,1737334800,1745758800,1745715600,1745762400,https://publicqn.saikr.com/2025/01/15/contest6787779a2bae47.441368311736931319536.png,全国性,中华出版促进会国际人才文化传播工作委员会,主办方,全国,1005,english,19,12,正在报名,50,0,0
24,51078,2024 “创想中国 ”全国大学生简历设计大赛,vse/CXCNJL2024,0,1,1723737600,1746021600,1723737600,1746028740,https://publicqn.saikr.com/2025/02/13/contest67adbc256abb73.587511681739439169007.png,全国性,《中国就业》杂志社,主办方,全国,1004,occupation,28,22,比赛进行中,11,0,0
25,51698,第七届 CRH 杂交水稻杯机器人创客大赛 暨（19省）跨区域科创与科普大会,vse/51698,0,0,1734883200,1746028740,0,0,https://publicqn.saikr.com/2025/01/23/contest679206e2263f79.556739671737623284335.png,全国性,湖南省机器人科技教育学会 等,主办方,全国,1004,tiaozhanbei,7,12,正在报名,0,0,0
26,53678,关于举办中南大学第二十届数学建模竞赛的通知,vse/csumcm2025,0,1,1742745600,1746028799,1742832000,1749571199,,校级,中南大学,主办方,中南大学,1001,mcm,1,22,比赛进行中,0,1,0
27,53213,【综测加分】第二届“华文奖”全国大学生文化创新-文旅创作大赛,vse/HWJWL1/2025,0,1,1737388740,1746799200,1741881600,1747670340,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741925121319images.png,全国性,华夏文化促进会素质教育委员会,主办单位,全国,1005,art_assessment,36,22,比赛进行中,23,0,0
28,53313,【决赛】“悦·读者杯”2025年全国青少年元宵节知识大赛,vse/53313,0,1,1739116800,1746806400,1739116800,1746806400,,全国性,读者杂志社,主办方,全国,1005,technology,33,22,比赛进行中,0,0,0
29,53681,2025年闽南师范大学数学建模竞赛,vse/MNNUMCM2025,0,1,1747994400,1748786400,1747994400,1748786400,,校级,闽南师范大学,主办方,闽南师范大学,1001,mcm,1,11,即将报名,0,0,0
30,53325,【大英赛主办方】2025年全国大学生英语作文大赛（NEWCCS）,vse/newccs/2025,0,1,1740931200,1749311940,1740931200,1749708000,https://publicqn.saikr.com/2025/02/26/contest67be6779665af8.508042361740531593222.png,全国性,高等学校大学外语教学研究会 等,主办方,全国,1005,english,19,22,比赛进行中,1,0,0
31,53715,2025年第二十届全国环境友好科技竞赛（绿色创业类）,vse/53715,0,1,1743436800,1749571199,1743436800,1751299199,,全国性,清华大学 等,主办方,全国,1001,energy,15,11,即将报名,0,0,0
32,53725,2025年第二十届全国环境友好科技竞赛（理念类、实物类）,vse/hjyh/2025,0,1,1743436800,1749571199,1743436800,1751299199,,全国性,清华大学 等,主办方,全国,1001,energy,15,11,即将报名,0,0,0
33,53004,第十一届全国大学生外语翻译挑战赛,vse/NCSFLC,0,1,1742004000,1750500000,1750467600,1750514400,https://publicqn.saikr.com/2025/02/08/contest67a6fffe6ccb41.227587561738997824270.png,全国性,中国西部研究与发展促进会教育工作委员会 等,主办方,全国,1005,english,19,12,正在报名,35,0,0
34,52989,第十五届全国周培源大学生力学竞赛,vse/zpy/2025,0,1,1736481600,1743436740,1747528200,1747540800,https://publicqn.saikr.com/2025/01/10/contest6780f8f7bfbde3.938494171736505601130.png,全国性,中国力学学会 等,主办方,全国,1002,mechanics,35,12,正在报名,3,0,0
35,52985,2025年第十五届MathorCup数学应用挑战赛,vse/mathorcup/2025,0,1,1737648000,1744905540,1744934400,1745283600,https://publicqn.saikr.com/2025/01/24/contest67935dc6e30281.507456361737711549197.png,全国性,中国优选法统筹法与经济数学研究会,主办方,全国,1002,match,16,12,正在报名,2,0,0
36,51723,【最后一场报名】第二届全国大学生外交英语阅读大赛,vse/DERC,0,1,1733932800,1745154000,1745110800,1745157600,https://publicqn.saikr.com/2024/12/11/contest67595542137011.809390191733907803383.png,全国性,中国西部研究与发展促进会教育工作委员会,主办方,全国,1005,english,19,12,正在报名,17,0,0
37,51670,2025年“滇文化”全国文旅外宣大赛,vse/DWH2025,0,1,1732636800,1745157540,1745078400,1745164740,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741570747906images.png,全国性,云南省翻译工作者协会 等,主办方,全国,1005,art_assessment,36,12,正在报名,39,0,0
38,51705,【证书双官网可查】第二届“中促杯”全国大学生英语词汇能力挑战赛,vse/CIAPST/25,0,1,1733278200,1745676000,1743210000,1743260400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741829809175images.png,全国性,中国国际科技促进会综合素质与职业发展教育专业委员会,主办方,全国,1005,english,19,23,比赛结束,9,0,0
39,51700,2025“冰雪杯”全国大学生外语写作大赛,vse/BXBXZ2025,0,1,1732896000,1745683199,1732896000,1745683199,https://publicqn.saikr.com/contest/thmub/cropper/upload/1733911805755images.png,全国性,哈尔滨市翻译协会,主办方,全国,1005,english,19,22,比赛进行中,37,0,0
40,51390,【多赛道】大学生跨境电商实践大赛,vse/CBEC1nd,0,1,1728712800,1747404000,1747443600,1747494000,https://publicqn.saikr.com/2025/03/14/contest67d3a72803e075.601878491741924153235.png,全国性,中国西部研究与发展促进会教育工作委员会 等,主办方,全国,1003,business,26,12,正在报名,25,0,0
41,53410,2025年第四届“空英杯”全国大学生英语语法竞赛,vse/KYB/grammar25,0,1,1739980800,1747497599,1743177600,1743263999,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740041225372images.png,全国性,《空中英语教室》杂志社,主办方,全国,1005,english,19,23,比赛结束,44,0,0
42,53247,【数竞国赛/考研数学】“物联杯”全国大学生高新技术竞赛数学竞赛,vse/WLMATH25,0,1,1737388800,1747497600,1747531800,1747540800,https://publicqn.saikr.com/contest/thmub/cropper/upload/1737541473780images.png,全国性,中国国际科技促进会物联网工作委员会,主办方,全国,1002,mechanics,35,12,正在报名,24,0,0
